Circle,Division,SubDivision,Section,Area,CatCode,CatDesc,TotServices,BilledServices,Units,Load
PEDDAPALLY,MANTHANI,RAMAGUNDAM,RAMAGUNDAM,MOGALPAHAD,9,ELECTRIC VEHICLE CHARGING STATIONS,1,1,1456,30.0
PEDDAPALLY,PEDDAPALLY,SULTHANABAD,SULTHANABAD,POOSALA       ,9,ELECTRIC VEHICLE CHARGING STATIONS,1,0,0,50.0
HANUMAKONDA,HANAMKONDA/TOWN,HANAMKONDA(T),MACHILIBAZAR,RANGAMPET,9,ELECTRIC VEHICLE CHARGING STATIONS,1,1,1,53.0
HANUMAKONDA,HANAMKONDA/TOWN,NAYEEMNAGAR,YADAVA NAGAR,PEDDAMMAGADDA,9,ELECTRIC VEHICLE CHARGING STATIONS,1,1,1020,30.0
KAMAREDDY,BANSWADA,PITLAM,PITLAM,PITLAM,9,ELECTRIC VEHICLE CHARGING STATIONS,1,0,0,50.0
HANUMAKONDA,HANAMKONDA/TOWN,HANAMKONDA(T),NAKKALAGUTTA,BALASAMUDRAM,9,ELECTRIC VEHICLE CHARGING STATIONS,1,1,343,55.0
JAGITYAL,JAGITYAL,DHARMAPURI,DHARMAPURI,DHARMAPURI,9,ELECTRIC VEHICLE CHARGING STATIONS,1,0,0,50.0
KAMAREDDY,BANSWADA,BANSWADA,BANSWADA,BANSWADA,9,ELECTRIC VEHICLE CHARGING STATIONS,1,1,680,30.0
HANUMAKONDA,HANAMKONDA/TOWN,HANAMKONDA(T),SUBEDARI,BONDIVAGU,9,ELECTRIC VEHICLE CHARGING STATIONS,1,1,1444,30.0
HANUMAKONDA,HANAMKONDA/TOWN,HANAMKONDA(T),SUBEDARI,HUNTER ROAD,9,ELECTRIC VEHICLE CHARGING STATIONS,2,2,3085,80.0
KAMAREDDY,BANSWADA,BANSWADA,BIRKUR,BIRKUR,9,ELECTRIC VEHICLE CHARGING STATIONS,1,1,86,30.0
HANUMAKONDA,HANAMKONDA/RURAL,HASANPARTHY,HASANPARTHY,YELLAPUR,9,ELECTRIC VEHICLE CHARGING STATIONS,1,1,225,30.0
HANUMAKONDA,HANAMKONDA/RURAL,KAMALAPUR,ELKATHURTHY,ELKATHURTHY,9,ELECTRIC VEHICLE CHARGING STATIONS,1,1,27,30.0
HANUMAKONDA,HANAMKONDA/RURAL,PARKAL,DAMERA,MUSTYALAPALLY,9,ELECTRIC VEHICLE CHARGING STATIONS,1,1,99,30.0
HANUMAKONDA,HANAMKONDA/RURAL,PARKAL,DAMERA,OGLAPUR,9,ELECTRIC VEHICLE CHARGING STATIONS,1,1,102,30.0
HANUMAKONDA,HANAMKONDA/TOWN,KAZIPET,NIT,TEACHERS COLONY,9,ELECTRIC VEHICLE CHARGING STATIONS,1,1,1359,30.0
JAGITYAL,JAGITYAL,Jagitial Town,POLASA,POLASA,9,ELECTRIC VEHICLE CHARGING STATIONS,1,0,0,50.0
HANUMAKONDA,HANAMKONDA/RURAL,PARKAL,PARKAL-TOWN,PARKAL,9,ELECTRIC VEHICLE CHARGING STATIONS,1,1,398,30.0
JANGAON,JANGAON,JANGAON,BACHANNAPET,BACHANNAPET (HQ),9,ELECTRIC VEHICLE CHARGING STATIONS,1,1,221,1.5
ADILABAD,ADILABAD,ADILABAD TOWN,ADILABAD TOWN-III,ADILABAD-TOWN-III,9,ELECTRIC VEHICLE CHARGING STATIONS,2,2,1092,75.0
ADILABAD,ADILABAD,ADILABAD TOWN,MAVALA,DASNAPUR,9,ELECTRIC VEHICLE CHARGING STATIONS,1,1,728,30.0
