Circle,Division,SubDivision,Section,Area,CatCode,CatDesc,TotServices,BilledServices,Units,Load
NIRMAL,NIRMAL,NIRMAL,NIRMAL-TOWN3,DIVYA NAGAR,9,ELECTRIC VEHICLE CHARGING STATIONS,1,1,2271,45.0
NIRMAL,NIRMAL,NIRMAL,SOAN,SOAN,9,ELECTRIC VEHICLE CHARGING STATIONS,1,1,0,50.0
NIZAMABAD,ARMOOR,MORTHAD,KAMMARPALLY,KAMMARPALLY,9,ELECTRIC VEHICLE CHARGING STATIONS,2,2,7,100.0
NIZAMABAD,NIZAMABAD,NIZAMABAD TOWN 2,SHUBASHNAGAR,N10,9,ELECTRIC VEHICLE CHARGING STATIONS,1,1,964,50.0
NIZAMABAD,NIZAMABAD,NIZAMABAD TOWN 3,BOURGAON,BORGAON (P),9,ELECTRIC VEHICLE CHARGING STATIONS,1,1,2163,45.0
NIZAMABAD,ARMOOR,MORTHAD,MORTHAD,DONKAL,9,ELECTRIC VEHICLE CHARGING STATIONS,1,1,1,50.0
NIZAMABAD,ARMOOR,MORTHAD,MORTHAD,MORTHAD,9,ELECTRIC VEHICLE CHARGING STATIONS,1,1,1,50.0
PEDDAPALLY,MANTHANI,RAMAGUNDAM,RAMAGUNDAM,MOGALPAHAD,9,ELECTRIC VEHICLE CHARGING STATIONS,3,3,1073,134.0
WARANGAL,RURAL WARANGAL,WARDHANNAPET,RAYAPARTHI,RAYAPARTHI,9,ELECTRIC VEHICLE CHARGING STATIONS,1,1,0,50.0
NIRMAL,NIRMAL,NIRMAL RURAL,DILWARPUR,NARSAPUR (G),9,ELECTRIC VEHICLE CHARGING STATIONS,1,1,145,50.0
NIZAMABAD,DICHPALLY,DICHPALLY,DHARPALLY,DHARPALLY,9,ELECTRIC VEHICLE CHARGING STATIONS,1,1,0,54.0
NIZAMABAD,ARMOOR,PERKIT,MUPKAL,MUPKAL,9,ELECTRIC VEHICLE CHARGING STATIONS,1,1,968,50.0
NIZAMABAD,DICHPALLY,DICHPALLY,DICHPALLY,DICHPALLY,9,ELECTRIC VEHICLE CHARGING STATIONS,1,1,550,30.0
PEDDAPALLY,PEDDAPALLY,SULTHANABAD,SULTHANABAD,POOSALA       ,9,ELECTRIC VEHICLE CHARGING STATIONS,1,1,2304,50.0
NIZAMABAD,ARMOOR,PERKIT,PERKIT,PERKIT,9,ELECTRIC VEHICLE CHARGING STATIONS,2,2,4785,100.0
NIZAMABAD,BODHAN,BODHAN,BODHAN TOWN-I,ACHANPALLY,9,ELECTRIC VEHICLE CHARGING STATIONS,1,1,0,0.054
NIZAMABAD,BODHAN,BODHAN,BODHAN TOWN-I,BHEEMUNIGUTTA,9,ELECTRIC VEHICLE CHARGING STATIONS,1,1,0,30.0
NIZAMABAD,BODHAN,BODHAN,BODHAN TOWN-I,GOSHALA AND MARKET ROAD,9,ELECTRIC VEHICLE CHARGING STATIONS,1,1,0,0.054
NIZAMABAD,BODHAN,BODHAN,BODHAN TOWN-II,AZAM GUNJ,9,ELECTRIC VEHICLE CHARGING STATIONS,1,1,0,54.0
NIRMAL,NIRMAL,NIRMAL RURAL,NIRMAL - RURAL,YELLAPALLI,9,ELECTRIC VEHICLE CHARGING STATIONS,1,1,647,54.0
NIZAMABAD,DICHPALLY,DICHPALLY,INDALWAI,CHANDRAYANPALLY,9,ELECTRIC VEHICLE CHARGING STATIONS,1,1,1,50.0
WARANGAL,WARANGAL,MULUGU ROAD,POCHAMMA MAIDAN,POCHAMMAMAIDAN,9,ELECTRIC VEHICLE CHARGING STATIONS,1,1,1405,30.0
MAHABUBABAD,THORRUR,MARIPEDA,MARIPEDA,MARIPEDA TOWN 2,9,ELECTRIC VEHICLE CHARGING STATIONS,1,1,0,0.03
