Circle,Division,SubDivision,Section,Area,CatCode,CatDesc,TotServices,BilledServices,Units,Load
KARIMNAGAR,KARIMNAGAR RURAL,ALUGUNOOR,CHENJARLA,CHENJERLA,9,ELECTRIC VEHICLE CHARGING STATIONS,1,1,148.0,120.0
KHAMMAM,SATHUPALLY,PENUBALLY,PENUBALLY,THUMMALA PALLY,9,ELECTRIC VEHICLE CHARGING STATIONS,1,1,982.0,50.0
KARIMNAGAR,KARIMNAGAR RURAL,ALUGUNOOR,CHENJARLA,GATTEPALLY,9,ELECTRIC VEHICLE CHARGING STATIONS,1,1,626.0,50.0
KARIMNAGAR,KARIMNAGAR RURAL,NUSTHULAPUR,NUTSULAPOOR,NUSTULAPOOR,9,ELECTRIC VEHICLE CHARGING STATIONS,1,1,171.0,15.0
MANCHERIAL,MANCHERIAL,CHENNUR,JAIPUR,INDARAM,9,ELECTRIC VEHICLE CHARGING STATIONS,1,1,259.0,120.0
MANCHERIAL,MANCHERIAL,CHENNUR,JAIPUR,JAIPUR,9,ELECTRIC VEHICLE CHARGING STATIONS,2,2,566.0,80.0
KHAMMAM,SATHUPALLY,SATHUPALLY,SATHUPALLY,KISTARAM,9,ELECTRIC VEHICLE CHARGING STATIONS,1,1,51.0,30.0
KARIMNAGAR,KARIMNAGAR,KARIMNAGAR TOWN 2,KRN TOWN 2,J CIRCLE,9,ELECTRIC VEHICLE CHARGING STATIONS,1,1,0.0,50.0
KHAMMAM,MADHIRA,MADHIRA,MADHIRA,MADHIRA,9,ELECTRIC VEHICLE CHARGING STATIONS,1,1,0.0,30.0
KHAMMAM,SATHUPALLY,SATHUPALLY,SATHUPALLY,SATHUPALLY,9,ELECTRIC VEHICLE CHARGING STATIONS,1,1,0.0,50.0
MULUGU,ETURNAGARAM,N. VENKATAPURAM,N.V.PURAM,N V PURAM,9,ELECTRIC VEHICLE CHARGING STATIONS,1,1,25.0,30.0
NIRMAL,BHAINSA,BASAR,BASAR,BASAR,9,ELECTRIC VEHICLE CHARGING STATIONS,1,1,321.0,0.054
KARIMNAGAR,KARIMNAGAR RURAL,Gangadhara,ACHAMPALLY,WADDIARAM,9,ELECTRIC VEHICLE CHARGING STATIONS,1,1,186.0,25.0
KHAMMAM,KHAMMAM,KHAMMAM(T),KHAMMAM TOWN-2,ZONE (7)  KHAMMAM,9,ELECTRIC VEHICLE CHARGING STATIONS,1,1,1876.0,30.0
MANCHERIAL,MANCHERIAL,MANCHERIAL - RURAL,HAZIPUR,GUDIPET,9,ELECTRIC VEHICLE CHARGING STATIONS,2,2,1977.0,100.0
KARIMNAGAR,KARIMNAGAR,KARIMNAGAR TOWN 2,KRN TOWN 7,NON SLAB,9,ELECTRIC VEHICLE CHARGING STATIONS,1,1,5216.0,50.0
KARIMNAGAR,KARIMNAGAR RURAL,Gangadhara,CHOPPADANDI,CHOPPADANDI,9,ELECTRIC VEHICLE CHARGING STATIONS,1,1,1072.0,50.0
KARIMNAGAR,KARIMNAGAR,KARIMNAGAR TOWN 2,KRN TOWN 9,T CIRCLE,9,ELECTRIC VEHICLE CHARGING STATIONS,1,1,1361.0,120.0
KHAMMAM,WYRA,WYRA,PEDDA GOPATHI,THANIKELLA,9,ELECTRIC VEHICLE CHARGING STATIONS,1,1,5336.0,50.0
NIRMAL,NIRMAL,KHANAPUR,MAMDA,BOORGUPALLI,9,ELECTRIC VEHICLE CHARGING STATIONS,2,2,1179.0,170.0
