circle,division,subdivision,section,area,catdesc,catcode,totservices,billdservices,units,load
BANJARA HILLS,BANJARA HILLS,JUBILEE HILLS,MADHAPUR,"VITTAL RAO NAGAR,GAFOORNAGAR",EV CHARGING STATIONS,9,2,,0,3.0
BANJARA HILLS,BANJARA HILLS,BANJARA HILLS,BANJARA HILLS,HT DOMESTIC,EV CHARGING STATIONS,9,1,1.0,417,120.0
BANJARA HILLS,BANJARA HILLS,BANJARA HILLS,BANJARA HILLS,HV ROAD NO 2 AND 3,EV CHARGING STATIONS,9,3,3.0,9787,161.0
BANJARA HILLS,BANJARA HILLS,BANJARA HILLS,BANJARA HILLS,"HV ROAD NO 7,8,9,10 AND 11",EV CHARGING STATIONS,9,1,1.0,711,54.0
BANJARA HILLS,BANJARA HILLS,BANJARA HILLS,FILM NAGAR,GRC HIGH VALUES RDNO-12&13 BAN,EV CHARGING STATIONS,9,1,,0,54.0
BANJARA HILLS,BANJARA HILLS,BANJARA HILLS,FILM NAGAR,GRC-JUBILEE HILLS &FILM NAGAR ,EV CHARGING STATIONS,9,2,2.0,8985,109.0
BANJARA HILLS,BANJARA HILLS,AMEERPET,SRI KRISHNA NAGAR,CT METERS-GRC,EV CHARGING STATIONS,9,3,3.0,19314,162.0
BANJARA HILLS,BANJARA HILLS,AMEERPET,YELLA REDDY GUDA,GRC HIGH VALUES,EV CHARGING STATIONS,9,1,1.0,25564,53.0
BANJARA HILLS,BANJARA HILLS,JUBILEE HILLS,JUBILEE HILLS,HV ROAD 22 TO 35,EV CHARGING STATIONS,9,1,1.0,0,50.0
BANJARA HILLS,BANJARA HILLS,JUBILEE HILLS,JUBILEE HILLS,HV ROAD NO 56 TO 68 & 10 TO 22,EV CHARGING STATIONS,9,2,2.0,1698,69.0
BANJARA HILLS,BANJARA HILLS,JUBILEE HILLS,MADHAPUR,"JAYABHERI ENCLAVE, OFFI BESIDE",EV CHARGING STATIONS,9,4,3.0,28433,182.0
BANJARA HILLS,BANJARA HILLS,JUBILEE HILLS,MADHAPUR,KAVURI HILLS,EV CHARGING STATIONS,9,2,2.0,19603,107.0
BANJARA HILLS,BANJARA HILLS,AMEERPET,YOUSUFGUDA,PRAGATHINAGAR-1,EV CHARGING STATIONS,9,1,1.0,94,8.0
BANJARA HILLS,GREEN LANDS,GREENLANDS,BEGUMPET,"GRC - P.GADDA, P.NAGAR",EV CHARGING STATIONS,9,1,1.0,496,10.0
BANJARA HILLS,GREEN LANDS,GREENLANDS,BEGUMPET,GRC. SHYAMLAL,EV CHARGING STATIONS,9,1,1.0,526,22.0
BANJARA HILLS,GREEN LANDS,SANATH NAGAR,MOTHI NAGAR,GRC HV MOTINAGAR,EV CHARGING STATIONS,9,2,2.0,1880,65.0
BANJARA HILLS,GREEN LANDS,GREENLANDS,GREENLANDS,GRC HV GREENLANDS,EV CHARGING STATIONS,9,1,1.0,469,10.0
BANJARA HILLS,GREEN LANDS,GREENLANDS,SANJEEV REDDY NAGAR,CT METERS,EV CHARGING STATIONS,9,1,1.0,19830,53.0
BANJARA HILLS,GREEN LANDS,SANATH NAGAR,SANATHNAGAR,CT METERS,EV CHARGING STATIONS,9,3,3.0,39060,161.0
BANJARA HILLS,GREEN LANDS,SANATH NAGAR,BORABANDA,GRC HV BORABANDA,EV CHARGING STATIONS,9,1,1.0,18880,53.0
CYBERCITY,GACHIBOWLI,CHANDA NAGAR,CHANDA NAGAR,"ADITYA,PRAKASH NAGAR",EV CHARGING STATIONS,9,1,1.0,8419,22.0
CYBERCITY,GACHIBOWLI,CHANDA NAGAR,CHANDA NAGAR,CHANDANAGAR-HV,EV CHARGING STATIONS,9,1,1.0,460,22.0
CYBERCITY,IBRAHIMBAGH,MOKILA,CHILKUR,HIMAYATH NAGAR,EV CHARGING STATIONS,9,1,1.0,421,54.0
CYBERCITY,GACHIBOWLI,GACHIBOWLI,GACHIBOWLI,CT-APHB COLONY,EV CHARGING STATIONS,9,2,2.0,9512,84.0
CYBERCITY,GACHIBOWLI,GACHIBOWLI,GACHIBOWLI,GOPAN PALLY,EV CHARGING STATIONS,9,5,5.0,16168,306.0
CYBERCITY,GACHIBOWLI,GACHIBOWLI,GACHIBOWLI,HV GACHIBOWLI,EV CHARGING STATIONS,9,1,1.0,0,54.0
CYBERCITY,GACHIBOWLI,GACHIBOWLI,GACHIBOWLI,HV GOWLI DODDI,EV CHARGING STATIONS,9,2,2.0,27652,108.0
CYBERCITY,GACHIBOWLI,CHANDA NAGAR,CHANDA NAGAR,SAIKRUPA APPARTMENTS,EV CHARGING STATIONS,9,1,1.0,503,11.0
CYBERCITY,IBRAHIMBAGH,CHEVELLA,CHEVELLA,KESARAM(C),EV CHARGING STATIONS,9,1,1.0,7565,60.0
CYBERCITY,IBRAHIMBAGH,IBRAHIMBAG,IBRAHIMBAGH,LAKSHMI NAGAR,EV CHARGING STATIONS,9,1,1.0,2576,7.0
