discom,circle,division,subdivision,section,area,units_2025,units_2026,growth_units,growth_percent,total_units,total_load,total_services,months_observed,unit_per_reported_load,consumption_percentile,load_percentile,demand_load_gap,priority_category,growth_score,gap_score,combined_score
TGSPDCL,HABSIGUDA,SAINIKPURI,A S RAO NAGAR,MOULAALI,OLD MOULALI,16850.0,69009.0,52159.0,309.54896142433233,117930.0,519.0,40,40,227.22543352601156,0.8556701030927835,0.15463917525773196,0.7010309278350515,Priority Investigation,74.19354838709677,90.32258064516128,82.25806451612902
TGSPDCL,SECUNDERABAD,PARADISE,PADMA RAO NAGAR,TARNAKA,GRC HV TARNAKA,26977.0,62070.0,35093.0,130.08488712607036,128642.0,370.0,37,37,347.68108108108106,0.8762886597938144,0.12371134020618557,0.7525773195876289,Priority Investigation,64.51612903225806,98.38709677419355,81.45161290322581
TGSPDCL,CYBERCITY,GACHIBOWLI,GACHIBOWLI,GACHIBOWLI,JOURNALIST COLONY ,10795.0,47516.0,36721.0,340.1667438628995,71270.0,110.0,22,22,647.9090909090909,0.7577319587628866,0.028350515463917526,0.729381443298969,Priority Investigation,67.74193548387096,93.54838709677419,80.64516129032258
TGSPDCL,BANJARA HILLS,GREEN LANDS,GREENLANDS,SANJEEV REDDY NAGAR,CT METERS,38578.0,171422.0,132844.0,344.35170304318524,248912.0,1060.0,20,20,234.82264150943396,0.9587628865979382,0.5713058419243986,0.3874570446735396,Priority Investigation,88.70967741935483,70.96774193548387,79.83870967741936
TGSPDCL,SECUNDERABAD,BOWENPALLY,BOWENPALLY,OLD BOWENPALLY,CT METERS (GRP-M),29673.0,215759.0,186086.0,627.1222997337647,286334.0,1200.0,21,20,238.61166666666668,0.9656357388316151,0.6408934707903781,0.32474226804123707,Priority Investigation,91.93548387096774,66.12903225806451,79.03225806451613
TGSPDCL,HABSIGUDA,SAINIKPURI,A S RAO NAGAR,NEREDMET,R.K PURAM,17038.0,115926.0,98888.0,580.3967601831201,148316.0,1060.0,20,20,139.92075471698112,0.8951890034364262,0.5713058419243986,0.32388316151202756,Priority Investigation,85.48387096774194,64.51612903225806,75.0
TGSPDCL,MEDCHAL,KUKATPALLY,MIYAPUR,HYDERNAGAR,B K ENCLAVE,18421.0,50392.0,31971.0,173.55735302100862,114869.0,382.0,30,30,300.7041884816754,0.852233676975945,0.12714776632302405,0.7250859106529209,Priority Investigation,58.06451612903226,91.93548387096774,75.0
TGSPDCL,CYBERCITY,GACHIBOWLI,CHANDA NAGAR,VASANTH NAGAR,GOPALA NAGAR,35581.0,66881.0,31300.0,87.96829768696777,165618.0,597.0,44,44,277.4170854271357,0.9123711340206185,0.17697594501718214,0.7353951890034364,Priority Investigation,54.83870967741935,95.16129032258065,75.0
TGSPDCL,CYBERCITY,GACHIBOWLI,GACHIBOWLI,GACHIBOWLI,HV GOWLI DODDI,34140.0,324838.0,290698.0,851.4879906268308,420411.0,2016.0,37,26,208.53720238095238,0.9810996563573883,0.8496563573883161,0.13144329896907214,Priority Investigation,100.0,46.774193548387096,73.38709677419355
TGSPDCL,CYBERCITY,IBRAHIMBAGH,IBRAHIMBAG,IBRAHIMBAGH,POKALWADA,99172.0,178482.0,79310.0,79.97216956398984,440128.0,1400.0,40,40,314.37714285714287,0.9862542955326461,0.7079037800687286,0.27835051546391754,Priority Investigation,83.87096774193549,61.29032258064516,72.58064516129032
TGSPDCL,HYDERABAD SOUTH,BEGUM BAZAR,SEETHARAM BAGH,DATTATREYA COLONY,GRCHV DATTACOLONY,24185.0,55057.0,30872.0,127.64936944387017,100271.0,504.0,28,28,198.95039682539684,0.8195876288659794,0.15292096219931273,0.6666666666666666,Priority Investigation,53.2258064516129,87.09677419354838,70.16129032258064
